dataset,target,config,k,seed,f1
EAModelSet,Layer,LLM(NL+NT+ET),3,5,0.8398338235418041
EAModelSet,Layer,LLM(NL+NT+ET),3,6,0.8210910675467651
EAModelSet,Layer,LLM(NL+NT+ET),3,7,0.8374668004887843
EAModelSet,Layer,LLM(NL+NT+ET),3,8,0.8171179588263345
EAModelSet,Layer,LLM(NL+NT+ET),3,9,0.8136467105506007
EAModelSet,Layer,GNN(R),0,0,0.37091046244577125
EAModelSet,Layer,GNN(R),0,1,0.3590014478480281
EAModelSet,Layer,GNN(R),0,2,0.38028105591424444
EAModelSet,Layer,GNN(R),0,3,0.421895132529721
EAModelSet,Layer,GNN(R),0,4,0.3603655363717584
EAModelSet,Layer,GNN(R),0,5,0.3645211282711219
EAModelSet,Layer,GNN(R),0,6,0.381108078921294
EAModelSet,Layer,GNN(R),0,7,0.3868602658282471
EAModelSet,Layer,GNN(R),0,8,0.37347187868188486
EAModelSet,Layer,GNN(R),0,9,0.37288139339493565
EAModelSet,Layer,GNN(FTLM(NL)),0,0,0.7810246295512054
EAModelSet,Layer,GNN(FTLM(NL)),0,1,0.779199076370339
EAModelSet,Layer,GNN(FTLM(NL)),0,2,0.7636632416792631
EAModelSet,Layer,GNN(FTLM(NL)),0,3,0.7732081868138416
EAModelSet,Layer,GNN(FTLM(NL)),0,4,0.7743528684866148
EAModelSet,Layer,GNN(FTLM(NL)),0,5,0.7634551537795089
EAModelSet,Layer,GNN(FTLM(NL)),0,6,0.7765983910067437
EAModelSet,Layer,GNN(FTLM(NL)),0,7,0.7654204352282346
EAModelSet,Layer,GNN(FTLM(NL)),0,8,0.7837206670791704
EAModelSet,Layer,GNN(FTLM(NL)),0,9,0.7759274591260508
EAModelSet,Layer,GNN(FTLM(NL)),1,0,0.8418930648576904
EAModelSet,Layer,GNN(FTLM(NL)),1,1,0.8350897164714373
EAModelSet,Layer,GNN(FTLM(NL)),1,2,0.8398139017612231
EAModelSet,Layer,GNN(FTLM(NL)),1,3,0.8210225370709294
EAModelSet,Layer,GNN(FTLM(NL)),1,4,0.8296859252947694
EAModelSet,Layer,GNN(FTLM(NL)),1,5,0.8446283979918875
EAModelSet,Layer,GNN(FTLM(NL)),1,6,0.8197143295817785
EAModelSet,Layer,GNN(FTLM(NL)),1,7,0.8494660852148116
EAModelSet,Layer,GNN(FTLM(NL)),1,8,0.8235390352462609
EAModelSet,Layer,GNN(FTLM(NL)),1,9,0.8485673850266426
EAModelSet,Layer,GNN(FTLM(NL)),2,0,0.8205450296712067
EAModelSet,Layer,GNN(FTLM(NL)),2,1,0.8367899108434246
EAModelSet,Layer,GNN(FTLM(NL)),2,2,0.8303095120758479
EAModelSet,Layer,GNN(FTLM(NL)),2,3,0.8136316505970851
EAModelSet,Layer,GNN(FTLM(NL)),2,4,0.8414914874955846
EAModelSet,Layer,GNN(FTLM(NL)),2,5,0.843417071555226
EAModelSet,Layer,GNN(FTLM(NL)),2,6,0.8283419509399979
EAModelSet,Layer,GNN(FTLM(NL)),2,7,0.8262608372782767
EAModelSet,Layer,GNN(FTLM(NL)),2,8,0.8274013303402936
EAModelSet,Layer,GNN(FTLM(NL)),2,9,0.8192484767722125
EAModelSet,Layer,GNN(FTLM(NL)),3,0,0.8389858675975691
EAModelSet,Layer,GNN(FTLM(NL)),3,1,0.8225710806826981
EAModelSet,Layer,GNN(FTLM(NL)),3,2,0.8274880958730831
EAModelSet,Layer,GNN(FTLM(NL)),3,3,0.8200670359679695
EAModelSet,Layer,GNN(FTLM(NL)),3,4,0.821739269002798
EAModelSet,Layer,GNN(FTLM(NL)),3,5,0.8152227484834883
EAModelSet,Layer,GNN(FTLM(NL)),3,6,0.8405706931371438
EAModelSet,Layer,GNN(FTLM(NL)),3,7,0.8264591242679398
EAModelSet,Layer,GNN(FTLM(NL)),3,8,0.837659216187288
EAModelSet,Layer,GNN(FTLM(NL)),3,9,0.8281332459691325
EAModelSet,Layer,GNN(FTLM(NL+NT)),0,0,0.7680559647229711
EAModelSet,Layer,GNN(FTLM(NL+NT)),0,1,0.7717331473999774
EAModelSet,Layer,GNN(FTLM(NL+NT)),0,2,0.769397689494971
EAModelSet,Layer,GNN(FTLM(NL+NT)),0,3,0.7750795909918492
EAModelSet,Layer,GNN(FTLM(NL+NT)),0,4,0.7712473316032304
EAModelSet,Layer,GNN(FTLM(NL+NT)),0,5,0.772000782840582
EAModelSet,Layer,GNN(FTLM(NL+NT)),0,6,0.7612142531586409
EAModelSet,Layer,GNN(FTLM(NL+NT)),0,7,0.7669315407237888
EAModelSet,Layer,GNN(FTLM(NL+NT)),0,8,0.7915405754880043
EAModelSet,Layer,GNN(FTLM(NL+NT)),0,9,0.7682876678374828
EAModelSet,Layer,GNN(FTLM(NL+NT)),1,0,0.8584590621237651
EAModelSet,Layer,GNN(FTLM(NL+NT)),1,1,0.8723732633257503
EAModelSet,Layer,GNN(FTLM(NL+NT)),1,2,0.8830727219955653
EAModelSet,Layer,GNN(FTLM(NL+NT)),1,3,0.854459756975188
EAModelSet,Layer,GNN(FTLM(NL+NT)),1,4,0.8669147815174872
EAModelSet,Layer,GNN(FTLM(NL+NT)),1,5,0.862679474460651
EAModelSet,Layer,GNN(FTLM(NL+NT)),1,6,0.8513898052567259
EAModelSet,Layer,GNN(FTLM(NL+NT)),1,7,0.8763492670925839
EAModelSet,Layer,GNN(FTLM(NL+NT)),1,8,0.8687655608144516
EAModelSet,Layer,GNN(FTLM(NL+NT)),1,9,0.8697144184429261
EAModelSet,Layer,GNN(FTLM(NL+NT)),2,0,0.8294768852755441
EAModelSet,Layer,GNN(FTLM(NL+NT)),2,1,0.8415478416299691
EAModelSet,Layer,GNN(FTLM(NL+NT)),2,2,0.8316070265051267
EAModelSet,Layer,GNN(FTLM(NL+NT)),2,3,0.8355709679150324
EAModelSet,Layer,GNN(FTLM(NL+NT)),2,4,0.8259173920781848
EAModelSet,Layer,GNN(FTLM(NL+NT)),2,5,0.824838972397918
EAModelSet,Layer,GNN(FTLM(NL+NT)),2,6,0.8503553185530002
EAModelSet,Layer,GNN(FTLM(NL+NT)),2,7,0.8319289529546152
EAModelSet,Layer,GNN(FTLM(NL+NT)),2,8,0.839916803563558
EAModelSet,Layer,GNN(FTLM(NL+NT)),2,9,0.8366620956523262
EAModelSet,Layer,GNN(FTLM(NL+NT)),3,0,0.8275885479723781
EAModelSet,Layer,GNN(FTLM(NL+NT)),3,1,0.8269203902966278
EAModelSet,Layer,GNN(FTLM(NL+NT)),3,2,0.8383008259144559
EAModelSet,Layer,GNN(FTLM(NL+NT)),3,3,0.8289813239546608
EAModelSet,Layer,GNN(FTLM(NL+NT)),3,4,0.8304855635182871
EAModelSet,Layer,GNN(FTLM(NL+NT)),3,5,0.8322222155719448
EAModelSet,Layer,GNN(FTLM(NL+NT)),3,6,0.84376508320252
EAModelSet,Layer,GNN(FTLM(NL+NT)),3,7,0.8388051097463314
EAModelSet,Layer,GNN(FTLM(NL+NT)),3,8,0.8358260026772799
EAModelSet,Layer,GNN(FTLM(NL+NT)),3,9,0.8263642860664675
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),1,0,0.8651803127999353
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),1,1,0.888495299317353
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),1,2,0.8886644713422087
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),1,3,0.8775929160087667
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),1,4,0.8844188384160352
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),1,5,0.886814430538854
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),1,6,0.8873118445266498
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),1,7,0.8882138347324647
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),1,8,0.8744438234933887
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),1,9,0.8941497298266472
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),2,0,0.8425340694171429
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),2,1,0.8636172307699365
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),2,2,0.8599393207903075
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),2,3,0.863736191135245
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),2,4,0.8737900830709674
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),2,5,0.8698444547337865
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),2,6,0.8435482309281067
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),2,7,0.8381132841973215
EAModelSet,Layer,GNN(FTLM(NL+NT+ET)),2,8,0.8631688905905379
