dataset,target,model,k,seed,f1
EAModelSet,Type,GloVe+SVM,1,4,0.3487869415994229
EAModelSet,Type,GloVe+SVM,1,5,0.3303468870766121
EAModelSet,Type,GloVe+SVM,1,6,0.32833329516896204
EAModelSet,Type,GloVe+SVM,1,7,0.3185790240747771
EAModelSet,Type,GloVe+SVM,1,8,0.31693423543322413
EAModelSet,Type,GloVe+SVM,1,9,0.3435688316191577
EAModelSet,Type,GloVe+RF,1,0,0.4716531385744499
EAModelSet,Type,GloVe+RF,1,1,0.4740422978329688
EAModelSet,Type,GloVe+RF,1,2,0.48383058609985974
EAModelSet,Type,GloVe+RF,1,3,0.4798842748136496
EAModelSet,Type,GloVe+RF,1,4,0.5084742686298168
EAModelSet,Type,GloVe+RF,1,5,0.456605216879129
EAModelSet,Type,GloVe+RF,1,6,0.4893363455135323
EAModelSet,Type,GloVe+RF,1,7,0.49355252543723593
EAModelSet,Type,GloVe+RF,1,8,0.47155407701226043
EAModelSet,Type,GloVe+RF,1,9,0.4772650744751228
EAModelSet,Type,Worde4MDE+SVM,1,0,0.4241913195800327
EAModelSet,Type,Worde4MDE+SVM,1,1,0.43855415720063573
EAModelSet,Type,Worde4MDE+SVM,1,2,0.407953839526586
EAModelSet,Type,Worde4MDE+SVM,1,3,0.40004933287772393
EAModelSet,Type,Worde4MDE+SVM,1,4,0.430669634958812
EAModelSet,Type,Worde4MDE+SVM,1,5,0.437284919104006
EAModelSet,Type,Worde4MDE+SVM,1,6,0.41497962090373464
EAModelSet,Type,Worde4MDE+SVM,1,7,0.39243455869894117
EAModelSet,Type,Worde4MDE+SVM,1,8,0.43642237362963915
EAModelSet,Type,Worde4MDE+SVM,1,9,0.41661763533174856
EAModelSet,Type,Worde4MDE+RF,1,0,0.4914867793261129
EAModelSet,Type,Worde4MDE+RF,1,1,0.4774782175933406
EAModelSet,Type,Worde4MDE+RF,1,2,0.47349224144523133
EAModelSet,Type,Worde4MDE+RF,1,3,0.472577047754923
EAModelSet,Type,Worde4MDE+RF,1,4,0.4956813402151801
EAModelSet,Type,Worde4MDE+RF,1,5,0.4952134153359826
EAModelSet,Type,Worde4MDE+RF,1,6,0.45234580457465295
EAModelSet,Type,Worde4MDE+RF,1,7,0.46676494022622045
EAModelSet,Type,Worde4MDE+RF,1,8,0.49932494593645577
